[2025-04-23 19:42:00] eth:ethertype:ip:tcp 172.16.12.236:43664 -> 172.16.2.4:3689 | Possível SYN
[2025-04-23 19:42:02] eth:ethertype:ip:tcp 172.16.12.236:43666 -> 172.16.2.4:3689 | Possível SYN
[2025-04-23 19:42:03] eth:ethertype:ip:tcp 172.16.12.236:43668 -> 172.16.2.4:3689 | Possível SYN
[2025-04-23 19:42:04] eth:ethertype:ip:tcp 172.16.12.236:43670 -> 172.16.2.4:3689 | Possível SYN
[2025-04-23 19:42:08] eth:ethertype:ip:tcp 172.16.9.35:48180 -> 89.58.44.75:443 | Possível FIN
[2025-04-23 19:42:08] eth:ethertype:ip:tcp 172.16.9.35:45868 -> 13.107.246.34:443 | Possível FIN
[2025-04-23 19:42:08] eth:ethertype:ip:tcp 89.58.44.75:443 -> 172.16.9.35:48180 | Possível FIN
[2025-04-23 19:42:08] eth:ethertype:ip:tcp 13.107.246.34:443 -> 172.16.9.35:45868 | Possível FIN
[2025-04-23 19:42:09] eth:ethertype:ip:tcp 172.16.9.35:50592 -> 13.107.246.33:443 | Possível FIN
[2025-04-23 19:42:09] eth:ethertype:ip:tcp 13.107.246.33:443 -> 172.16.9.35:50592 | Possível FIN
[2025-04-23 19:42:11] eth:ethertype:ip:tcp 40.71.11.167:443 -> 172.16.9.35:44472 | Possível FIN
[2025-04-23 19:42:19] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.11.33: -> 172.16.63.255: | Possível SYN
[2025-04-23 19:42:24] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.3.131: -> 255.255.255.255: | Possível SYN
[2025-04-23 19:42:24] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.3.131: -> 172.16.63.255: | Possível SYN
[2025-04-23 19:42:27] eth:ethertype:ip:tcp 172.16.12.236:44789 -> 172.16.2.4:12174 | Possível SYN
[2025-04-23 19:42:27] eth:ethertype:ip:tcp 172.16.12.236:43660 -> 172.16.2.4:1217 | Possível SYN
[2025-04-23 19:42:28] eth:ethertype:ip:tcp 172.16.12.236:44791 -> 172.16.2.4:12174 | Possível SYN
[2025-04-23 19:42:28] eth:ethertype:ip:tcp 172.16.12.236:43662 -> 172.16.2.4:1217 | Possível SYN
[2025-04-23 19:42:29] eth:ethertype:ip:udp:dns 172.16.9.35: -> 208.67.222.222: | Possível SYN
[2025-04-23 19:42:29] eth:ethertype:ip:udp:dns 172.16.9.35: -> 208.67.222.222: | Possível SYN
[2025-04-23 19:42:29] eth:ethertype:ip:tcp 172.16.9.35:44472 -> 40.71.11.167:443 | Possível FIN
[2025-04-23 19:42:29] eth:ethertype:ip:udp:dns 208.67.222.222: -> 172.16.9.35: | Possível SYN
[2025-04-23 19:42:29] eth:ethertype:ip:udp:dns 208.67.222.222: -> 172.16.9.35: | Possível SYN
[2025-04-23 19:42:29] eth:ethertype:ip:tcp 172.16.9.35:60894 -> 40.71.11.167:443 | Possível SYN
[2025-04-23 19:42:29] eth:ethertype:ip:tcp 40.71.11.167:443 -> 172.16.9.35:60894 | Possível SYN
[2025-04-23 19:42:29] eth:ethertype:ip:tcp 172.16.12.236:44793 -> 172.16.2.4:12174 | Possível SYN
[2025-04-23 19:42:29] eth:ethertype:ip:tcp 172.16.12.236:43664 -> 172.16.2.4:1217 | Possível SYN
[2025-04-23 19:42:30] eth:ethertype:ip:tcp 172.16.12.236:44795 -> 172.16.2.4:12174 | Possível SYN
[2025-04-23 19:42:30] eth:ethertype:ip:tcp 172.16.12.236:43666 -> 172.16.2.4:1217 | Possível SYN
[2025-04-23 19:42:31] eth:ethertype:ip:tcp 172.16.9.35:51078 -> 52.182.143.213:443 | Possível SYN
[2025-04-23 19:42:31] eth:ethertype:ip:tcp 52.182.143.213:443 -> 172.16.9.35:51078 | Possível SYN
[2025-04-23 19:42:31] eth:ethertype:ip:tcp 172.16.12.236:44797 -> 172.16.2.4:12174 | Possível SYN
[2025-04-23 19:42:32] eth:ethertype:ip:tcp 172.16.12.236:43668 -> 172.16.2.4:1217 | Possível SYN
[2025-04-23 19:42:33] eth:ethertype:ip:tcp 172.16.12.236:44799 -> 172.16.2.4:12174 | Possível SYN
[2025-04-23 19:42:33] eth:ethertype:ip:tcp 172.16.12.236:43670 -> 172.16.2.4:1217 | Possível SYN
[2025-04-23 19:42:34] eth:ethertype:ip:tcp 172.16.12.236:44801 -> 172.16.2.4:12174 | Possível SYN
[2025-04-23 19:42:35] eth:ethertype:ip:tcp 172.16.12.236:43660 -> 172.16.2.4:2717 | Possível SYN
[2025-04-23 19:42:37] eth:ethertype:ip:tcp 172.16.12.236:43662 -> 172.16.2.4:2717 | Possível SYN
[2025-04-23 19:42:38] eth:ethertype:ip:tcp 172.16.12.236:43664 -> 172.16.2.4:2717 | Possível SYN
[2025-04-23 19:42:39] eth:ethertype:ip:tcp 172.16.12.236:43666 -> 172.16.2.4:2717 | Possível SYN
[2025-04-23 19:42:40] eth:ethertype:ip:tcp 172.16.12.236:43668 -> 172.16.2.4:2717 | Possível SYN
